dataset_source_dataset1,event_date_dataset1,event_title,location_description,landslide_trigger,latitude_standardized_dataset1,longitude_standardized_dataset1,date_compare,latitude_compare,longitude_compare,dataset_source_dataset2,event_date_dataset2,state,district,location_name,triggering_factor,latitude_standardized_dataset2,longitude_standardized_dataset2
India_Media_Catalog,8/7/2016 0:00,"Parmandal, Jammu","Parmandal, Jammu",continuous_rain,32.6987,75.0582,2016-08-07,32.699,75.058,LandslideGuard_Project_Master,2016-08-07,Kashmir,,"Parmandal, Jammu",continuous_rain,32.6987,75.0582
India_Media_Catalog,6/8/2016 22:00,"Srinagar-Leh highway in Shutkady near Sonamarg, Ganderbal district, Jammu and Kashmir, India","Srinagar-Leh highway in Shutkady near Sonamarg, Ganderbal district, Jammu and Kashmir, India",downpour,34.2952,75.3226,2016-06-08,34.295,75.323,LandslideGuard_Project_Master,2016-06-08,Kashmir,,"Srinagar-Leh highway in Shutkady near Sonamarg, Ganderbal district, Jammu and Kashmir, India",downpour,34.2952,75.3226
India_Media_Catalog,8/2/2016 22:30,"Malshej ghat, Maharashtra, India","Malshej ghat, Maharashtra, India",monsoon,19.3421,73.7735,2016-08-02,19.342,73.774,LandslideGuard_Project_Master,2016-08-02,Maharashtra,,"Malshej ghat, Maharashtra, India",monsoon,19.3421,73.7735
India_Media_Catalog,3/7/2016 0:00,Chhindwara,Chhindwara,unknown,22.1337,78.8979,2016-03-07,22.134,78.898,LandslideGuard_Project_Master,2016-03-07,Madhya Pradesh,,Chhindwara,unknown,22.1337,78.8979
India_Media_Catalog,6/28/2016 0:00,"PHC Cansaulim, Goa, India","PHC Cansaulim, Goa, India",downpour,15.3455,73.8976,2016-06-28,15.346,73.898,LandslideGuard_Project_Master,2016-06-28,Goa,,"PHC Cansaulim, Goa, India",downpour,15.3455,73.8976
India_Media_Catalog,4/19/2016 0:00,"Techahan Ward, Mon, Nagaland, India","Techahan Ward, Mon, Nagaland, India",continuous_rain,26.7223,95.0243,2016-04-19,26.722,95.024,LandslideGuard_Project_Master,2016-04-19,Nagaland,,"Techahan Ward, Mon, Nagaland, India",continuous_rain,26.7223,95.0243
India_Media_Catalog,6/30/2016 22:00,"Didihat, Uttarakhand, India","Didihat, Uttarakhand, India",monsoon,29.8002,80.2565,2016-06-30,29.8,80.256,LandslideGuard_Project_Master,2016-06-30,Uttarakhand,,"Didihat, Uttarakhand, India",monsoon,29.8002,80.2565
India_Media_Catalog,7/18/2016 0:00,"Gangotri Highway near Helgugad, Uttarkashi, Uttarakhand, India","Gangotri Highway near Helgugad, Uttarkashi, Uttarakhand, India",rain,30.7313,78.4358,2016-07-18,30.731,78.436,LandslideGuard_Project_Master,2016-07-18,Uttarakhand,,"Gangotri Highway near Helgugad, Uttarkashi, Uttarakhand, India",rain,30.7313,78.4358
India_Media_Catalog,6/12/2016 23:00,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",downpour,27.6438,93.871,2016-06-12,27.644,93.871,LandslideGuard_Project_Master,2016-06-12,Arunachal Pradesh,,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",downpour,27.6438,93.871
India_Media_Catalog,6/18/2016 0:00,"main road between Gulem and Loliem and Cotigao, at Baddem, Goa, India","main road between Gulem and Loliem and Cotigao, at Baddem, Goa, India",downpour,15.0275,74.1623,2016-06-18,15.028,74.162,LandslideGuard_Project_Master,2016-06-18,Goa,,"main road between Gulem and Loliem and Cotigao, at Baddem, Goa, India",downpour,15.0275,74.1623
India_Media_Catalog,8/7/2016 0:00,Kathua,Kathua,continuous_rain,32.4298,75.5807,2016-08-07,32.43,75.581,LandslideGuard_Project_Master,2016-08-07,Kashmir,,Kathua,continuous_rain,32.4298,75.5807
India_Media_Catalog,8/7/2016 0:00,Doda-Kishtwar road,Doda-Kishtwar road,continuous_rain,33.1457,75.7964,2016-08-07,33.146,75.796,LandslideGuard_Project_Master,2016-08-07,Kashmir,,Doda-Kishtwar road,continuous_rain,33.1457,75.7964
India_Media_Catalog,7/4/2016 8:00,"Kallarakodi, Ullal, India","Kallarakodi, Ullal, India",unknown,12.8041,74.8678,2016-07-04,12.804,74.868,LandslideGuard_Project_Master,2016-07-04,Karnataka,,"Kallarakodi, Ullal, India",unknown,12.8041,74.8678
India_Media_Catalog,7/19/2016 9:00,"12th Mile area at Jorabat, Meghalaya, India","12th Mile area at Jorabat, Meghalaya, India",unknown,26.09748244,91.8744337,2016-07-19,26.097,91.874,LandslideGuard_Project_Master,2016-07-19,Meghalaya,,"12th Mile area at Jorabat, Meghalaya, India",unknown,26.09748244,91.8744337
India_Media_Catalog,10/12/2016 0:00,Mirik,Mirik,downpour,26.8861,88.1704,2016-10-12,26.886,88.17,LandslideGuard_Project_Master,2016-10-12,West Bengal,,Mirik,downpour,26.8861,88.1704
India_Media_Catalog,7/16/2016 15:00,"Mussoorie-Tehri bypass, near Landour, Uttarakhand, India","Mussoorie-Tehri bypass, near Landour, Uttarakhand, India",downpour,30.4554,78.0973,2016-07-16,30.455,78.097,LandslideGuard_Project_Master,2016-07-16,Uttarakhand,,"Mussoorie-Tehri bypass, near Landour, Uttarakhand, India",downpour,30.4554,78.0973
India_Media_Catalog,6/12/2016 0:00,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India","on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",continuous_rain,26.1677,94.2442,2016-06-12,26.168,94.244,LandslideGuard_Project_Master,2016-06-12,Nagaland,,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",continuous_rain,26.1677,94.2442
India_Media_Catalog,6/17/2016 0:00,"Urni, Satluj river, Kinnaur district, Himachal Pradesh, India","Urni, Satluj river, Kinnaur district, Himachal Pradesh, India",monsoon,31.5124,78.1181,2016-06-17,31.512,78.118,LandslideGuard_Project_Master,2016-06-17,Himachal Pradesh,,"Urni, Satluj river, Kinnaur district, Himachal Pradesh, India",monsoon,31.5124,78.1181
India_Media_Catalog,6/24/2016 23:00,"Maya Bar, Thokkottu, India","Maya Bar, Thokkottu, India",downpour,12.8157,74.8586,2016-06-24,12.816,74.859,LandslideGuard_Project_Master,2016-06-24,Karnataka,,"Maya Bar, Thokkottu, India",downpour,12.8157,74.8586
India_Media_Catalog,7/26/2016 23:00,"Finchaytaar, Lodhoma, Darjeeling, India","Finchaytaar, Lodhoma, Darjeeling, India",downpour,27.1027,88.1218,2016-07-26,27.103,88.122,LandslideGuard_Project_Master,2016-07-26,West Bengal,,"Finchaytaar, Lodhoma, Darjeeling, India",downpour,27.1027,88.1218
India_Media_Catalog,5/18/2016 8:00,"Bilaipur, Hailakandi district, Assam, India","Bilaipur, Hailakandi district, Assam, India",continuous_rain,24.5202,92.7239,2016-05-18,24.52,92.724,LandslideGuard_Project_Master,2016-05-18,Assam,,"Bilaipur, Hailakandi district, Assam, India",continuous_rain,24.5202,92.7239
India_Media_Catalog,5/9/2016 12:10,".5 km away from Valparai Police Station at a construction site, Valparai, Tamil Nadu, India",".5 km away from Valparai Police Station at a construction site, Valparai, Tamil Nadu, India",construction,10.3316,76.9592,2016-05-09,10.332,76.959,LandslideGuard_Project_Master,2016-05-09,Tamil Nadu,,".5 km away from Valparai Police Station at a construction site, Valparai, Tamil Nadu, India",construction,10.3316,76.9592
India_Media_Catalog,7/31/2016 11:00,"Parsik/ Nutan Tunnel on Central rail, near Diva, Mumbai, India","Parsik/ Nutan Tunnel on Central rail, near Diva, Mumbai, India",downpour,19.1869,73.02,2016-07-31,19.187,73.02,LandslideGuard_Project_Master,2016-07-31,Maharashtra,,"Parsik/ Nutan Tunnel on Central rail, near Diva, Mumbai, India",downpour,19.1869,73.02
India_Media_Catalog,8/4/2016 0:00,Valley of Flowers near Badrinath,Valley of Flowers near Badrinath,continuous_rain,30.7386,79.4954,2016-08-04,30.739,79.495,LandslideGuard_Project_Master,2016-08-04,Uttarakhand,,Valley of Flowers near Badrinath,continuous_rain,30.7386,79.4954
India_Media_Catalog,7/31/2016 0:00,"Janki Chatti, Uttarakhand, India","Janki Chatti, Uttarakhand, India",continuous_rain,30.9753,78.4375,2016-07-31,30.975,78.438,LandslideGuard_Project_Master,2016-07-31,Uttarakhand,,"Janki Chatti, Uttarakhand, India",continuous_rain,30.9753,78.4375
India_Media_Catalog,7/31/2016 0:00,"NH 5 near Rampur, Uttar Pradesh, India","NH 5 near Rampur, Uttar Pradesh, India",rain,25.4941,82.5725,2016-07-31,25.494,82.572,LandslideGuard_Project_Master,2016-07-31,Uttar Pradesh,,"NH 5 near Rampur, Uttar Pradesh, India",rain,25.4941,82.5725
India_Media_Catalog,7/19/2016 0:00,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India","Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",continuous_rain,25.203,90.5573,2016-07-19,25.203,90.557,LandslideGuard_Project_Master,2016-07-19,Meghalaya,,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",continuous_rain,25.203,90.5573
India_Media_Catalog,5/18/2016 8:00,"Sonachirra, Karimganj district, Assam, India","Sonachirra, Karimganj district, Assam, India",continuous_rain,24.4638,92.4943,2016-05-18,24.464,92.494,LandslideGuard_Project_Master,2016-05-18,Assam,,"Sonachirra, Karimganj district, Assam, India",continuous_rain,24.4638,92.4943
India_Media_Catalog,7/10/2016 0:00,"National Highway 2, near Kohima, Nagaland, India","National Highway 2, near Kohima, Nagaland, India",downpour,25.7902,94.1318,2016-07-10,25.79,94.132,LandslideGuard_Project_Master,2016-07-10,Nagaland,,"National Highway 2, near Kohima, Nagaland, India",downpour,25.7902,94.1318
India_Media_Catalog,7/11/2016 23:00,"North Point Colony, Akuluto, Nagaland, India","North Point Colony, Akuluto, Nagaland, India",unknown,26.1699,94.4922,2016-07-11,26.17,94.492,LandslideGuard_Project_Master,2016-07-11,Nagaland,,"North Point Colony, Akuluto, Nagaland, India",unknown,26.1699,94.4922
